"href"	"title"	"subtitle"
"/nyheter/ekonomi/usas-inflation-stiger-rantesankning-i-fara"	"USA:s inflation stiger – räntesänkning i fara"	"SVT sänder direkt 17.30 "
"/nyheter/ekonomi/googles-inkognito-lage-inte-sa-inkognito"	"Googles inkognito-läge inte så ”inkognito”"	"Ska radera webbläsaruppgifter som samlats i inkognitoläget "
"/nyheter/ekonomi/hochm-utmanare-fran-kina-dubblar-vinsten"	"H&M-utmanaren Shein från Kina dubblar vinsten"	NA
"/nyheter/ekonomi/unga-missbrukar-aktier-tar-stora-risker"	"Unga missbrukar aktier – tar för stora risker"	"Allt fler unga söker hjälp för aktiemissbruk "
"/nyheter/ekonomi/min-digitala-tvilling-hjalper-mig-att-fuska-smart-pa-jobbet"	"”Min digitala tvilling hjälper mig att fuska smart på jobbet”"	"Alexander Norén "
"/nyheter/ekonomi/lilla-aktuellt-reder-ut-vad-innebar-ranta-egentligen"	"Lilla Aktuellt reder ut: Vad innebär ränta – egentligen?"	"Så bra koll har barnen på begreppen "
"/nyheter/ekonomi/med-stramhet-som-ledstjarna-ar-168-miljarder-mycket"	"Regeringens budskap är att det finns utrymme att agera”"	"Elisabeth Marmorstein "
"/nyheter/ekonomi/riksbankens-rantebesked"	"Riksbanken lämnar styrräntan oförändrad"	NA
"/nyheter/ekonomi/darfor-stammer-usa-apple"	"Därför stämmer USA Apple"	"Amerikanska justitiedepartementet: ”Monopoliserat marknaden” "
"/nyheter/ekonomi/oforandrad-styrranta-i-usa"	"Oförändrad styrränta i USA – räntesänkningar spås"	"SVT:s ekonomikommentator: ”Väntat” "
"/nyheter/ekonomi/min-digitala-tvilling-hjalper-mig-att-fuska-smart-pa-jobbet"	"”Min digitala tvilling hjälper mig att fuska smart på jobbet”"	NA
"/nyheter/ekonomi/usas-inflation-stiger-rantesankning-i-fara"	"USA:s inflation stiger – räntesänkning i fara"	NA
"/nyheter/ekonomi/experten-sa-far-du-bast-betalt-for-ditt-guld"	"Experten: Så får du bäst betalt för ditt guld"	NA
