"","X3101","X3102","X3103","X3104","X3105","X3106","X3107","X3108","X3109","X3110","X3111","X3112","X3113","X3114","X3115","X3116","X3117","X3118","X3119","X3120","X3121","X3122","X3123","X3124","X3125","X3126","X3127","X3128","X3129"
"3101",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3102",0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"3103",0,0,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3104",0,1,1,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"3105",0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3106",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3107",0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3108",0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1
"3109",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"3110",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3111",1,1,1,1,0,0,0,1,1,0,NA,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1
"3112",0,1,0,0,0,0,0,0,1,0,0,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3113",0,0,0,0,0,0,1,1,0,0,1,0,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"3114",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3115",0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,1,0,0,1,0,0,1,0,0,1,0,0,0,0
"3116",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0
"3117",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0
"3118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"3119",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,0,1,1,1,1,1,0,1,0,0
"3120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0
"3121",0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,NA,1,1,1,1,0,0,1,1
"3122",0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,NA,1,1,1,0,0,0,0
"3123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,NA,0,0,0,1,0
"3125",0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,NA,0,0,0,0
"3126",0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,NA,0,0,0
"3127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"3128",1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,NA,1
"3129",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
