"","X2629","X2820","X2961","X3623","X9601","X9603","X9604","X9605","X9606","X9607","X9608","X9609","X9610"
"2629",NA,0,0,0,0,0,0,0,0,0,0,0,0
"2820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3623",0,0,0,NA,0,0,0,0,0,0,0,0,0
"9601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9604",0,0,0,0,0,0,NA,0,0,0,0,0,0
"9605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9609",0,0,0,0,0,0,0,0,0,0,0,NA,0
"9610",0,0,0,1,0,0,0,0,0,0,0,0,NA
